% Model:              Yoke ima Lab _ Vitor -V5.mph
% Version:            COMSOL 5.3.0.260
% Date:               Feb 4 2020, 17:30
% Dimension:          2
% Nodes:              451
% Expressions:        1
% Description:        Magnetic flux density norm
% Length unit:        m
% R                       Z                        mf2.normB (T)
21                        -10                      0.3964276933911478
22                        -10                      0.40936165142355974
23                        -10                      0.422295615093087
24                        -10                      0.43522958456990485
25                        -10                      0.4481635599103775
26                        -10                      0.4610975410887601
27                        -10                      0.47403152802069487
28                        -10                      0.48696552058066483
29                        -10                      0.4998995186149983
30                        -10                      0.5128335219515344
31                        -10                      0.47106507992896113
32                        -10                      0.45333506348294456
33                        -10                      0.43560504723785276
34                        -10                      0.4178750311798186
35                        -10                      0.4001450152974085
36                        -10                      0.38241499958145203
37                        -10                      0.3646849840249435
38                        -10                      0.3469549686230337
39                        -10                      0.32922495337310836
40                        -10                      0.31149493827497654
